artist,categories,date_added,dated,description,dimensions,height,image,location,medium,price,title,url,width
"Peter Beard,Essay by Owen Edwards,Taschen",insunsh,2017-06-10,2006,"reproductions in color of Beard's photo collages and diaries; maroon cover with brown leather (?) spine and corners; maroon ribbon marker; cover photo image in black and white of elephant; ""PETER BEARD"", ""TASCHEN"", and silhouette of elephant in gold on spine; received in maroon fabric-covered clamshell box with gold silhouette of elephant and embossed ""PETER BEARD"" on front","20 1/8 x 14 1/4 x 3 1/4 in. (51.12 x 36.2 x 8.26 cm) (closed, book only)",,http://pstrial-2019-12-16.toscrape.com/content/23007.jpg,Not on View,Offset lithography,431.29,"Peter Beard, Art Edition, No. 1073",http://pstrial-2019-12-16.toscrape.com/item/23007/Peter_Beard_Art_Edition_No_107?back=155,
,insunsh,2015-03-18,Date Unknown,"arc-shaped pendant of ivory with white and golden tan patina; silver end caps and central band, decorated with pairs of bands and teardrop shaped elements in relief surrounded by circles at ends; wire flower on band at center, with dangle with punched circles around bottom edge hanging at bottom center","2 x 4 3/16 x 1 1/16 in. (5.08 x 10.64 x 2.7 cm) (without chain)
28 in. (71.12 cm) (object part, chain length)",,http://pstrial-2019-12-16.toscrape.com/content/22923.jpg,Not on View,"Ivory, silver",253.45,Pendant with chain,http://pstrial-2019-12-16.toscrape.com/item/22923/Pendant_with_chain?back=155,
"Lee Friedlander,Haywire Press",insunsh,2010-09-12,1977,,"12 3/4 x 8 5/8 in. (32.39 x 21.91 cm) (image)
20 3/8 x 15 in. (51.75 x 38.1 cm) (sheet)
23 x 19 in. (58.42 x 48.26 cm) (outer frame)",21.91,http://pstrial-2019-12-16.toscrape.com/content/22716.jpg,Not on View,Photogravure (printed 1986),321.22,Tokyo,http://pstrial-2019-12-16.toscrape.com/item/22716/Tokyo?back=155,32.39
Alfred Stieglitz,insunsh,2014-03-09,1907,,"13 1/16 x 10 3/8 in. (33.18 x 26.35 cm) (image)
18 1/4 x 12 5/8 in. (46.36 x 32.07 cm) (sheet)",26.35,http://pstrial-2019-12-16.toscrape.com/content/22707.jpg,Not on View,Photogravure,370.03,The Steerage,http://pstrial-2019-12-16.toscrape.com/item/22707/The_Steerage?back=155,33.18
,insunsh,2016-03-28,c. 1000-1300,Tan vessel with a geometric design painted on with black pigment.,14 1/2 x 18 in. (36.83 x 45.72 cm),45.72,http://pstrial-2019-12-16.toscrape.com/content/22675.jpg,G259,"Clay, pigments",319.27,Pot (Olla),http://pstrial-2019-12-16.toscrape.com/item/22675/Pot_Olla_?back=155,36.83
Pa Lee Thao,insunsh,2012-01-20,1983,"Animals and people in scenes of village life embroidered on dark blue background. Made in Thailand, 1983. From a letter from the artist: 'This village scene tells about the village Phou Bia in Laos. The house that the two dragons surround was a place that the Hmong's army chief (General Vang Pao) used to live. It also used to be a temple for the Hmong population to praise the Lord. The other things on the bottom tell about the Hmong's life in Laos. They used to feed the chickens and pigs and go to the farm. It also mentions the fruit and food that Hmong people produced in a year. Hmong were happy to celebrate the New Year. This is from Thailand made in 1983.' -Pa Lee Thao",63 3/4 x 46 1/2 in. (161.93 x 118.11 cm),118.11,http://pstrial-2019-12-16.toscrape.com/content/22583.jpg,Not on View,Cotton; embroidery,859.05,Village Story Blanket,http://pstrial-2019-12-16.toscrape.com/item/22583/Village_Story_Blanket?back=155,161.93
,insunsh,2012-09-03,Pre 1900,"Rosario; Single strand of medium silver beads; 16 silver crosses, 7 coral beads; large double-barred Pueblo cross, pendant, with bruised heart. J.#431, Cat.#383.",17 in. (43.18 cm),,http://pstrial-2019-12-16.toscrape.com/content/22455.jpg,Not on View,"Silver, coral (?)",189.3,Necklace,http://pstrial-2019-12-16.toscrape.com/item/22455/Necklace?back=155,
"Larsen Design Studio,Jack Lenor Larsen, Inc.",insunsh,2014-12-28,1992,Knitted and transfer printed bronze polyester cloth with silver back. Knitted and transfer printed bronze polyester cloth with silver back. bronze,overall: 19 x 56 1/4 in. (48.26 x 142.88 cm),142.88,http://pstrial-2019-12-16.toscrape.com/content/23953.jpg,Not on View,Polyester; printed,169.76,Eclipse I,http://pstrial-2019-12-16.toscrape.com/item/23953/Eclipse_I?back=155,48.26
"Lori Weitzner,Jack Lenor Larsen, Inc.",insunsh,2015-03-20,1995,"Spanish style scroll pattern.  Chenille type.  Vert. Rpt. 9.5""; horiz. Rpt. 11"". Golden brown Molasses",16 1/2 x 56 1/4 in. (41.91 x 142.88 cm) (Untrimmed),142.88,http://pstrial-2019-12-16.toscrape.com/content/23899.jpg,Not on View,Cotton & viscose.,72.0,Alhambra,http://pstrial-2019-12-16.toscrape.com/item/23899/Alhambra?back=155,41.91
"Larsen Design Studio,McNutt Weaving Co., Ltd.,Jack Lenor Larsen, Inc.",insunsh,2011-12-06,1981,Coarse weave tweed. Avocado green Dill,overall (Untrimmed): 24 1/2 x 51 3/4 in. (62.23 x 131.45 cm),131.45,http://pstrial-2019-12-16.toscrape.com/content/23892.jpg,Not on View,wool,618.17,Sundown,http://pstrial-2019-12-16.toscrape.com/item/23892/Sundown?back=155,62.23
